X_1,X_2,X_3,X_4
109,68,113,84
116,125,108,163
108,76,60,68
92,86,91,122
83,56,52,69
106,121,91,115
105,95,76,73
97,96,75,99
82,92,124,92
102,90,58,103
69,74,80,36
103,92,114,76
112,129,89,148
96,99,78,98
88,76,96,66
104,126,82,119
84,120,114,101
91,98,113,96
107,130,126,136
93,89,88,112
103,103,96,85
114,138,127,154
92,101,90,119
104,85,101,121
110,143,86,142
78,64,91,52
107,122,90,120
104,84,97,69
95,139,112,107
98,78,69,96
105,92,89,104
105,112,115,114
92,101,98,81
109,132,64,154
100,103,108,102
107,109,83,130
79,90,104,83
109,84,102,68
97,109,128,96
104,112,69,116
99,85,93,85
106,120,88,148
92,82,64,46
78,96,104,93
109,99,85,113
115,122,116,136
109,118,92,125
85,103,106,140
107,122,96,103
110,107,150,131
85,94,89,95
81,88,102,56
94,93,82,84
85,85,107,83
110,96,93,93
124,93,117,102
99,93,77,98
94,71,78,34
122,142,138,157
87,65,114,71
92,89,143,62
126,169,126,209
90,104,90,74
82,110,118,81
98,103,64,103
105,81,90,64
85,89,126,83
97,107,97,122
97,141,111,153
97,103,68,107
100,103,88,129
96,113,78,105
91,85,97,45
104,63,107,46
107,85,97,113
107,140,103,118
106,109,71,110
104,117,117,87
108,129,89,102
90,95,87,69
89,87,82,87
88,97,92,110
95,96,119,122
93,62,84,46
106,105,124,91
91,76,94,72
93,85,100,55
106,84,55,97
81,70,79,58
102,97,106,104
91,89,94,115
88,109,100,104
119,92,115,91
108,118,91,109
94,88,114,77
103,103,123,116
104,106,114,97
113,152,118,162
111,87,71,98
117,120,116,113
101,108,86,88
102,112,93,93
99,105,66,120
98,68,110,82
94,99,85,75
112,78,89,82
113,113,91,131
99,128,120,126
124,130,101,133
87,77,98,78
106,99,95,83
105,114,85,107
101,86,90,93
91,71,124,55
92,89,61,73
115,130,121,165
94,84,95,105
96,75,118,80
107,128,110,130
112,84,89,126
112,100,117,128
103,97,118,123
103,99,95,101
91,101,97,86
78,73,78,54
97,108,115,100
95,91,53,83
110,100,80,105
87,71,91,82
120,138,118,156
110,82,107,110
121,102,89,147
108,83,73,79
105,102,115,97
100,93,75,97
99,100,94,126
101,94,108,67
96,98,89,83
93,94,126,94
100,100,81,86
91,81,98,89
97,104,119,88
113,118,100,74
108,103,131,101
83,70,96,86
106,86,89,92
93,93,94,103
111,82,81,113
98,87,103,120
115,83,139,100
81,63,95,41
94,112,95,96
94,77,79,64
116,106,98,91
83,75,61,51
99,126,94,91
89,105,111,111
101,100,90,125
103,100,90,107
83,91,88,93
89,86,102,80
107,61,115,65
107,103,57,128
109,106,114,125
105,129,90,123
88,89,93,65
105,129,83,113
94,78,106,81
111,111,99,131
116,137,109,134
100,98,100,71
106,108,132,136
96,87,87,61
95,83,89,102
95,142,82,151
105,87,104,103
98,93,100,127
92,71,71,65
110,92,119,109
76,63,77,64
103,104,75,117
104,103,87,89
116,95,77,95
105,89,77,67
85,125,95,146
116,97,122,145
88,65,67,48
91,93,100,108
104,101,101,138
95,96,72,101
88,115,125,122
108,121,104,121
96,94,108,103
100,112,87,138
116,98,93,76
100,84,72,109
98,84,76,80
96,97,99,75
94,94,105,111
96,77,80,61
99,99,80,91
125,102,98,108
106,71,93,71
104,139,70,116
88,123,115,77
92,120,80,113
89,103,95,87
91,110,116,103
107,121,105,143
88,97,107,78
85,97,79,53
90,93,99,88
107,93,88,76
89,94,88,104
96,74,93,60
110,91,108,95
110,99,103,106
109,99,107,116
79,93,80,84
107,132,106,114
106,120,122,115
107,117,89,129
105,93,124,81
102,105,93,114
116,113,103,118
110,110,92,97
113,127,115,169
103,92,100,123
115,103,129,129
111,107,120,116
86,50,99,46
97,112,58,111
85,75,63,66
113,128,109,141
102,85,105,85
104,106,81,90
104,104,90,129
96,102,112,103
95,47,70,54
106,116,117,78
91,122,109,113
95,111,108,94
94,99,99,77
118,106,111,134
90,82,63,84
103,97,91,82
124,99,98,134
96,77,99,59
113,123,118,137
118,109,80,113
110,106,105,128
97,106,123,107
104,124,109,101
86,88,97,69
108,95,50,97
97,113,137,124
113,87,117,96
111,57,111,88
113,102,120,142
102,86,121,95
78,59,76,75
110,72,100,114
112,94,98,111
95,109,115,121
92,101,94,85
78,116,117,127
96,85,54,89
96,98,112,90
91,120,70,72
68,76,73,33
110,118,97,157
101,148,132,163
101,90,119,122
122,103,82,124
96,81,95,69
99,76,121,81
113,136,116,121
97,67,95,73
94,94,77,65
106,67,109,80
109,114,91,143
93,99,122,81
109,108,88,132
114,103,106,105
99,97,92,88
128,114,97,125
105,102,62,86
83,126,110,88
92,86,112,112
104,79,110,54
116,103,98,105
105,97,121,83
91,120,70,111
109,111,111,129
120,122,127,157
101,93,108,114
89,99,100,80
89,84,113,97
95,123,109,117
110,108,83,117
111,102,64,126
98,98,107,114
105,107,87,86
89,99,84,49
111,99,74,91
109,103,104,110
113,83,105,69
103,86,92,86
121,119,80,126
74,41,100,21
95,146,86,156
88,117,94,86
105,123,102,129
120,125,114,142
105,95,105,119
101,101,78,78
81,81,91,62
83,97,112,106
81,88,117,78
98,99,84,115
103,101,84,94
92,124,119,109
79,100,119,79
104,66,85,59
105,114,88,115
94,95,129,105
124,133,112,138
121,106,118,97
91,94,77,94
110,112,96,97
89,96,112,104
104,112,110,140
82,95,94,51
96,86,89,41
89,102,95,108
84,83,113,78
105,83,135,121
101,109,108,79
119,101,130,105
91,94,98,69
119,121,121,122
125,116,115,123
86,81,81,85
99,131,101,165
114,110,130,118
92,69,74,53
94,87,106,91
100,124,83,103
91,89,84,98
83,95,101,91
80,62,102,32
109,127,94,126
100,93,66,93
104,94,95,95
114,143,119,119
113,86,94,109
99,103,99,87
124,126,100,163
104,97,126,85
102,100,115,90
91,69,112,68
115,116,83,114
85,95,82,96
105,96,68,63
112,124,105,140
92,78,76,76
94,136,103,134
101,121,69,104
98,99,104,79
105,91,111,110
79,84,93,59
101,122,102,100
