I keep a consistent schedule.,I look sternly at the students.,I point out the children who are disruptive.,I remind the class about the rules on the wall.,I raise my voice.,I express my disappointment in the children.,I change the subject to something more intresting.,I act more enthusiastic.,I engage distracted children with questions.,I insist on silence.,I wait until the children are quiet.,I use a ritual the children know to get the children's attention.,I let the class get out of hand.,I talk about why the activity is more interesting than they think.
-0.880854667,0.02691753,-1.516141786,-0.360382128,-1.501791154,-0.76595931,-0.812374714,0.305940502,-0.240456587,-1.699399732,1.204663278,0.081010442,-0.118772363,-1.226023157
0.726835797,0.30220844,0.89217008,-1.225498004,-0.34786835,0.677946815,1.739683614,0.600081968,1.20111627,-0.13888776,1.681986959,0.959259669,0.431108731,1.594680173
-0.640028281,-0.152735999,-0.862210603,-1.456205878,-0.814712724,-1.430013784,-0.677078463,-1.085522267,-0.018014901,-0.268349156,-0.024653855,0.310335348,-0.068135913,0.344313632
0.021501672,-0.662475799,-0.782994742,1.222121696,-1.153518463,0.15460465,0.458203232,-0.197910271,0.377608374,-1.133457431,0.364275504,0.60814387,0.662022065,-0.748469859
0.254289438,-0.438380203,0.107772986,0.716122844,-1.588157149,-2.138920823,1.080250431,-1.269530624,0.872956866,-1.507254937,2.089874754,0.603483265,-1.009949845,2.485537649
-0.060878138,1.187249359,0.579383666,-1.147293772,0.505810599,0.027864329,0.065758048,-1.157647402,-0.888640829,1.033069824,-0.702576297,1.497815382,-0.482876581,-0.524733236
-0.543247929,1.054502418,1.242319128,-0.584435752,-0.881460519,0.731424014,0.720509733,-0.613653441,-0.364240026,-0.359647687,-0.293864081,-0.413897031,-0.470779122,0.231510491
-0.146042571,0.121550999,-1.806282897,0.36871775,0.116468233,-0.426749855,0.461931259,1.323562886,0.366867854,-0.047512848,0.965903157,0.522599159,0.213432087,0.06032181
-1.193611399,-0.996938088,-0.530097512,0.157069647,0.637773272,-0.939344255,-0.509122158,0.152755939,-0.149456942,-0.403825984,-0.472174892,-0.390326224,-0.701166725,0.037358877
1.282995027,1.930179533,0.25043706,-0.832281198,0.599946161,-1.894607604,-0.363092042,-0.556246211,-0.158822472,-1.417366449,-0.151393355,-0.911847364,-1.075359955,-1.17482561
-0.669070993,-0.185264359,-0.018574159,0.319278063,0.353349902,-1.169965223,0.39016676,-0.222001416,-0.137700246,-1.152645943,0.724853719,-0.546022152,1.450889065,0.060658716
0.859469069,0.256885193,-0.617639598,-0.394916106,0.788755499,-0.485394688,-0.460746731,-0.657224217,-1.386116814,-0.529122736,-0.891324806,0.018879107,0.67123963,-0.732682813
-0.88308523,-0.315169816,-0.470396449,-0.305313253,-0.445433288,-0.283745005,0.395273636,-0.58944047,0.712509854,-0.275968221,0.32447606,-0.986592104,0.57952563,0.808477771
-0.462271387,0.048491578,-0.255230908,-0.585274575,-0.378458729,-0.045223067,2.087275124,0.674171867,1.075180776,-2.589856817,0.045322703,-0.217813003,1.498579178,1.230567022
-1.079940112,-0.24779496,0.090584766,-0.564527526,-0.353276544,0.526785348,0.348019599,-0.346088602,-0.522080778,0.885747828,0.351249397,-0.100167132,-0.131429889,-0.571893895
-0.643362121,-1.216518041,1.014133753,-0.923307115,0.274530943,-1.150358114,0.121156874,-0.404959145,1.204487946,1.799244353,0.0463628,-1.463705842,-0.317344244,1.494597577
-2.045330682,-0.101633971,-0.563155284,0.186584757,1.06287685,1.183712838,-1.535587415,-0.284756828,-0.592866889,-0.052123705,0.022085735,-1.733564116,0.182914502,-1.283485952
0.234570385,1.506452449,0.294945325,1.194408062,0.563330088,-0.461423543,-4.68424042,-1.315972433,-3.915980801,0.409742805,-1.463656883,0.558555782,0.59897137,-4.14050011
0.540949182,0.331514298,-0.865735777,-0.819058416,-0.538669856,-1.322056508,1.10343062,1.44585892,0.928704892,-0.061949661,0.013326737,0.862217694,-0.375947524,1.285535204
0.302338244,0.291201026,-0.698849816,-0.095620328,-1.196018951,-0.786747979,0.320616803,0.101574036,1.178547079,0.256568765,0.163526134,-0.083284157,-2.948415075,0.12298291
0.560259373,-0.428715838,0.792993943,1.477063201,1.52559756,-1.046720316,-0.227666225,-0.239197685,-0.604919382,2.17598583,-1.611560642,-0.086539849,0.450588694,0.456628789
-0.415873606,-0.842971336,1.18737276,-0.612722815,0.394831816,0.632499833,-0.482476593,0.582761495,-0.096012155,-1.147467992,-0.293804553,-0.134580634,-0.307809075,0.658541918
-0.461683605,-1.149261705,-0.319700892,1.26092047,1.589664804,-0.475882593,-0.37602215,0.573131615,0.834534487,0.699665235,-1.710480086,0.052983177,0.317209933,1.066886153
-0.094373085,0.803552065,0.567103112,0.484317709,0.17538693,0.565344202,2.05990565,0.466359638,1.083587375,-0.190734156,-0.561949142,0.96416351,-0.747274144,0.833267657
-0.190658621,0.678647681,0.029768677,-0.651583839,0.69040652,-1.225021987,0.164455367,0.758193469,-0.17148423,0.676427142,-0.524062161,-1.279927072,-0.130801466,0.236746209
-1.007801534,-3.064538947,-1.97600331,-1.187799937,-1.834978628,-1.489021172,0.410541435,0.536612514,0.34415933,-2.971365286,1.699707516,0.262463255,0.660275433,-0.536726197
-1.326818754,0.885434626,-0.59886043,-1.460319661,0.458056311,-0.404788,-0.126375634,2.079125858,1.25924532,-0.073600787,-1.202423364,0.765612496,0.946867068,1.767188355
-1.240742351,-0.229282175,1.869273024,0.411284037,0.928022168,-0.453996492,0.974182837,-1.676921145,-0.265598819,1.370306999,-0.476498483,-0.754961484,0.234756221,1.011773918
0.919011771,0.920052225,-0.129924859,-0.646284091,0.122272204,1.064726993,-0.764148158,-1.558606814,-0.612311964,-0.593880925,-0.783559294,-1.184153937,1.561267455,-0.011189709
-0.572682155,-0.593040672,1.231740153,-0.633252757,0.111250008,1.467051091,0.904793985,-0.096308368,1.361028115,-1.503857338,0.77844928,-1.258394432,1.219649623,0.652948466
-0.728437992,-0.230703005,0.416695394,-1.954276153,-1.164406209,0.245414435,0.169497716,-0.712367855,0.077906981,-2.005058644,0.056177965,-0.512055474,-0.525537246,-0.096271417
-1.327168949,-1.609684077,-1.855261534,-2.18112905,-0.884835144,-0.709985185,2.151578474,-0.036387791,1.554227673,0.682215529,-0.261877405,-0.722245017,0.871491104,2.801760111
0.227388262,1.105757381,0.43277886,-0.675512183,1.090817622,-0.099501256,0.092395089,-0.145522674,-0.442015152,0.561011951,0.448368317,0.009929179,-0.957887925,0.434312415
-0.091569579,-0.069431915,-0.942501735,-0.386599369,1.110980707,0.918952557,-0.895792421,-0.956584317,-1.15522814,0.419777642,-0.924392227,1.277236853,-1.222842332,-0.807030555
0.475081025,0.629890218,2.553542426,0.053929921,2.05414608,1.407520825,-1.477829871,-0.506204582,-0.244582253,2.092056872,-1.07406265,-0.656229166,1.899591531,0.101215618
-2.415130734,-0.822501491,0.706425,-0.918854695,0.017823747,0.41788875,-1.026287376,0.779320521,0.665279455,1.467999411,0.523619825,-1.810481919,1.081149296,-0.474257882
0.640902675,1.330367805,0.294737842,0.370321355,0.652606421,-0.111743537,-1.767717358,-1.443681912,-1.584505103,-0.901939818,-1.137863701,-0.313109066,-0.473940207,0.00681171
-0.207411108,1.338853489,-0.379960292,-0.766562376,0.094789365,-0.901091045,-0.804125879,0.445451064,0.449252264,-0.295014148,0.975258979,-0.79326095,-0.823433484,-0.64562681
-0.56432639,-0.271580377,0.221120583,-1.005232675,-0.533585194,-0.651406532,-0.067911336,-0.689788421,-1.407689823,0.391118653,-1.781838175,-0.811452603,-1.665815247,-0.576357928
0.753764662,1.322206042,0.222765227,0.829637215,-1.383505932,-0.949799849,0.038210045,0.985970607,-0.431853566,1.1088454,-0.335852982,0.273786469,0.69300389,-0.016458089
-0.37471914,0.49446125,-0.057237319,-0.957962531,0.581453531,1.121372032,-1.304625531,0.708759103,-0.425408424,-0.281565982,1.298344944,-0.22516677,0.471563747,0.731258061
0.277773832,-0.789893392,0.145195179,1.13793239,0.745579443,-0.731265726,-0.200120529,0.32333615,0.740847656,1.608154715,-0.296064744,0.027187338,1.308091917,-1.263280754
0.296030182,-0.798918655,-1.0562668,0.409097806,-0.495773778,-0.045998561,0.605024007,1.413121037,0.935747187,-0.8801292,1.955528298,0.761063277,0.115806788,1.452507333
-0.124211529,3.12891437,0.288901752,-0.173616192,1.740394119,0.578556905,-0.146410724,0.186278647,0.965024018,0.114037977,-1.021740834,-0.310488879,-0.152858265,-0.168105631
0.412505615,-0.536222661,-0.924505634,2.553532863,-0.403625224,-1.174302234,0.407845832,0.270778242,1.050530618,0.66674454,0.360506567,1.54186373,0.600451895,1.059800907
1.318699995,0.04326772,-0.229390672,1.87874721,-0.522897477,0.280108709,1.554437477,0.431485053,0.328315,1.331704421,0.724773433,1.199696402,-0.293003626,0.260336078
-1.253514346,-0.75238845,-0.53502582,-1.299839929,0.36741028,0.107585855,-0.741878799,-2.116354716,-1.34334527,-0.299680141,0.580564009,-1.257840122,-0.031302798,-0.76672553
-0.589638053,-0.00921411,-1.082752927,0.127055619,-0.079636189,0.411474067,0.051002124,-0.983322117,-0.496946158,1.209248361,-1.06777126,-0.317676053,-1.289271249,-0.968787419
0.33990872,0.34546318,-0.744364289,-0.300150989,-0.876271679,1.037854423,-0.094366443,-0.300367834,-0.083800004,-0.208494152,-0.723802945,-1.141273843,0.013755773,-1.220494693
-0.66209679,-0.198771114,-0.518053051,-1.059415342,0.168091735,-0.323499435,-1.363022236,1.704996274,-0.477825336,0.359121147,1.772106416,0.406474789,-0.341520306,-0.625980602
0.129924292,1.657701364,0.724605348,0.815883077,0.519416236,-0.703878235,-0.423446752,-1.157202485,-1.789158277,-1.437211949,-2.959113802,0.303617681,-2.180821655,-0.834209447
0.633505303,1.073575125,-1.286185915,-0.383515617,-0.033948849,1.24342218,0.314105481,2.505843759,0.411084073,0.663949289,0.423951211,-0.442256933,0.825514584,-0.733974409
0.90593638,1.394430731,0.610088958,0.621096819,0.613173041,-0.024126138,0.565633329,0.881910955,1.155747527,1.062429656,1.005149712,-0.714967121,-1.042923863,0.735534617
0.327720718,0.295169809,1.546822394,0.066376489,-0.279502244,0.625526294,-0.912298286,0.394312647,0.603694123,0.31493627,-0.533597853,0.540772773,-1.051628684,-0.046199242
0.998133146,-1.03420956,0.237415917,-0.485042656,-1.417045368,1.067185094,-0.381703395,-0.949634116,-1.073022819,-0.836484467,1.982237208,0.315051769,1.166462457,-0.314236695
-0.322275805,-0.942551022,-0.536491797,0.059842107,-0.512302301,2.17404032,0.081029998,-1.238593956,-0.539203931,-0.079464457,0.555087131,0.133644538,0.227262444,0.287138557
1.427733921,-0.992796059,-2.632034854,-1.390421082,-0.631825119,0.836204767,-0.272644346,-1.582434358,-0.32326268,-0.012231536,-0.575277813,0.184825793,-0.325223857,-0.145309201
1.862347426,0.193382727,-0.338421382,0.294032109,-0.867925702,-0.926065108,1.614297511,0.511274535,2.273709393,1.429805242,-1.17063401,0.9529261,-0.52858364,1.078830569
-0.967416714,1.661669109,0.276680668,0.161765185,1.24192516,0.931684711,-0.851163967,0.708205627,-1.086126446,-0.582827483,-0.575443149,0.626267243,-0.521589074,-0.437753727
-0.429340887,-1.051578172,0.203149643,-0.16350387,0.734315139,1.334766152,1.261508135,0.125653222,0.865498402,-0.83523681,-0.403837491,-0.717008173,0.5520308,1.292589546
-0.358822835,-0.046562266,-0.487741367,-0.350339466,0.639019919,0.186427421,0.117681907,-0.215768933,0.770854765,-1.139274183,0.667858399,-0.608065129,-0.411747281,-0.383115302
-0.636281095,1.265162221,0.28987368,0.228435437,0.396964217,1.012589797,-0.537208045,-0.204789098,-0.777627237,0.940553223,-0.812761771,-0.706320466,-0.596931978,1.01819134
-0.39997098,-0.426830204,-0.640360583,-1.231030167,-1.150858586,0.402892751,0.476121063,0.190104424,-0.337880966,-1.505519344,1.181713885,-0.4085744,2.20551891,0.87003722
1.051938853,0.127430461,1.608439719,-0.036568692,0.560292988,0.999419747,1.793575414,0.859161035,1.259839691,0.183510121,-0.700999644,0.30928406,-0.895734291,1.758891795
0.064190776,-0.246811655,0.232457977,0.544798938,-0.757935298,-0.610497705,1.076575047,-0.782840861,0.224366994,-0.663985129,0.432429551,0.53993469,-0.384773587,0.232380418
0.355571625,-1.319579064,0.293025136,0.541069977,0.045544379,0.017244149,-0.884910842,-1.384902668,-2.539089668,-0.699335321,0.374383456,-0.113421907,-2.339671853,-1.36159857
-1.001172112,0.151403098,-0.12853924,-0.643123587,-0.847891782,0.875787557,-1.115740723,-0.373097833,-0.777408639,-0.368294833,0.902242265,0.133933197,0.427199608,-0.577729173
1.019237942,-0.716721195,0.637596571,2.213577671,0.738814401,-0.240870024,0.409096342,-1.223057666,-1.552992969,2.149532849,-0.059798081,0.539207539,1.310110419,-1.251602037
0.687940288,-1.238318655,-0.409377826,-0.966215208,1.934228183,1.608071467,-0.403987093,0.613151462,-0.647486955,-1.006277896,1.2575881,-0.949949161,0.194375689,0.625552141
-1.193170847,1.018517899,0.952524904,-1.090150219,1.090487326,-1.132171905,-1.525168363,-1.015826576,-0.971370078,2.435505337,-0.950703987,-0.344677859,-2.778312779,-0.351081058
-0.244800499,-0.143427179,0.667695974,-0.784055656,0.219331054,-0.217479588,-0.784078504,0.401062307,-0.681894808,-1.926693672,-0.033962713,-0.800401631,0.116311278,-1.003643496
-0.174830744,-0.292592225,1.133825161,-0.934308614,1.875146033,-0.372241077,-0.872604849,-1.000373559,-0.387746045,0.509977068,-1.190712034,0.379640579,0.660785863,0.781700151
0.695533356,0.969294962,1.347337173,0.816014138,0.534694408,-1.281696518,0.466727868,-1.354781418,-0.59998294,-0.252131322,-0.720697549,0.380282988,0.028082506,-0.136452008
1.541390043,0.334387844,0.693728391,1.271643624,1.436983429,0.967382467,1.197406377,-0.6750884,-0.027221473,-0.273627754,-0.896700749,1.999484988,0.27458002,0.369935372
-0.640202127,0.330125615,0.849091278,0.079236389,0.797480665,-1.091572964,0.06564839,-1.799753168,0.166920792,0.006595167,-1.052542666,-0.550147241,0.528355953,0.431183782
0.709498983,-2.417259232,-0.220769606,-0.446097304,0.128892627,1.603863896,0.751514486,-1.397676125,0.030925775,0.327018103,0.074527683,-0.596596956,1.475743945,0.633821205
-1.486238533,0.777655763,0.00341506,-1.65978257,0.742992346,-0.868047227,0.258106915,1.581325007,0.740727631,-0.51465191,-0.658241298,-1.185842728,0.178591883,1.267570485
0.330941527,-0.41907401,2.191824723,-0.513041999,-0.802438582,0.06402405,1.451482024,-0.796326643,0.157128978,-1.630468557,1.92869018,0.405571598,-1.681946558,1.511917072
-0.346236236,0.90914447,-0.643710956,0.242032592,-0.211366642,0.864215361,0.927691308,1.087614851,0.017917124,-0.700856809,1.14175981,0.148428214,-0.369072865,1.010436095
1.656776354,1.007409872,-1.368369897,1.282910273,0.978378773,0.80541322,0.204021751,1.829428972,-0.405741701,0.635107036,-0.435613154,1.814576295,-0.887245069,-0.136251175
0.34800804,-0.903086891,-0.508581494,0.524919492,-0.153636456,0.754128741,-0.803709855,0.83313374,-1.097387173,-0.300348238,0.836704426,0.853735071,-0.373873204,-0.61807071
1.168166733,-0.933761324,-0.77553789,1.464308442,-1.486485434,0.020102953,1.493977149,0.232932555,0.365868315,-0.030540285,1.497208952,0.454434358,0.038717392,0.815974251
1.268455074,1.619613039,-0.090277876,0.977390648,0.694809531,0.253148084,0.984531807,-1.349576757,-0.492596653,-0.312411344,-1.491166901,1.363432907,-0.7860435,0.965265681
1.202225833,-1.138465441,-0.319224581,-0.929291817,0.006453078,1.141459085,-0.857791554,-0.606282899,-1.386256621,-1.558643494,0.097213201,0.115178038,0.46422004,-1.265822561
-0.104519188,-0.156122809,0.090124033,-0.363481283,1.306799086,-0.891558225,1.168569398,-0.180331734,0.130001368,0.373162642,-0.016596124,-1.00283612,-0.48254767,0.950071865
-1.862348785,-0.073815007,-0.026239212,-0.307531558,-0.854260977,-1.31374957,-0.084952658,-0.109166233,0.889512161,-1.253674855,-0.02581281,-0.39376302,1.794689729,-0.903832692
1.261040852,0.210323294,2.740066777,2.12245271,0.05525603,0.512167493,1.364793148,-1.63711475,-0.244944138,0.064727115,-0.598722348,1.317068608,0.16830485,0.522572715
-0.724879626,-0.485959133,-1.170384697,-1.105629842,-1.486328999,-1.163006498,-1.615389396,-1.143095332,-1.230155419,-1.710528949,-0.154703459,-0.561652143,0.872159739,-0.863648143
-0.187376071,-0.425985807,-0.153690931,0.110137974,-1.208401723,0.168195021,0.623712614,-1.416544101,0.306971334,1.041955725,0.66358157,0.096203342,-1.776146642,-0.018249324
1.576171603,-0.936349905,0.166984149,0.744954778,-0.878923089,-0.713254799,-0.7523867,-0.129417935,-0.067751079,0.440818229,0.472201564,0.252801406,-1.344389698,0.263950698
0.059222622,0.175311302,0.586171906,0.22491695,-0.097988268,1.023998034,1.010453514,-0.872882133,0.675109652,-0.851643734,-0.563467143,-0.73981762,-0.280330641,0.03662006
0.790542498,-0.616213393,-0.494350214,0.72843643,-0.268496825,0.084913971,-0.856257306,-0.719736544,-0.292970725,-0.076437124,1.840556145,0.288905129,1.572527061,-1.952867111
0.773062283,1.580313148,0.923949083,0.435552934,0.495706134,1.491931548,0.464864936,0.009788807,0.27076739,0.749076835,-0.585568948,0.227953279,0.658903391,0.660277238
0.786849194,-0.759499025,0.256763591,1.652516589,-1.251052525,0.051634604,0.341317813,-0.042568209,-1.143297692,0.568917319,1.14511134,1.524274706,-0.730044134,-0.677333526
-0.043520981,-1.201158544,0.73194276,-0.128988728,-1.888900158,0.08349488,2.084081111,0.095124326,0.948671171,-1.610114355,1.793644245,0.358253115,1.659439593,1.887826874
-1.092212214,1.383302596,0.488549217,-0.106195027,0.875271118,0.226432818,-1.148882665,-1.004996873,-1.327400729,2.413707538,-2.413937562,-0.943475895,-1.053568216,-0.333670235
0.135871306,-1.175309652,-2.061369003,-1.408438156,1.653832805,0.912410399,0.180146909,2.574531551,0.922164581,0.927526046,-0.294302667,0.901219098,-0.450136349,-0.384566609
0.669651128,0.461975297,2.157695415,1.593462623,0.723167568,-0.663253006,0.622960267,-0.240380773,0.109886491,-0.261859366,-1.631873277,0.954990912,0.317240468,-0.29757793
0.370460966,0.059288992,-1.290764967,1.17327247,0.278415869,-0.205573266,1.554275445,0.073900045,1.73681756,1.074289811,0.884446097,-0.050462842,0.501228539,1.900436304
-0.911045624,-0.809444607,-0.174334517,-0.516559429,1.522013183,0.893343426,-0.465473567,-1.034378125,-0.119899469,0.060466508,-0.208422269,-0.518761648,1.873275341,-1.059415197
0.490755933,-0.947405332,-1.357199788,-0.871973554,-0.364563687,0.060829211,-0.380470171,-0.483813573,-1.097176076,0.075060487,0.041750856,-0.089034725,1.063726451,0.063447401
0.646732393,-0.87024709,-0.671499523,-1.084937776,-2.624768141,-3.244486163,-0.068515329,1.33923572,-0.386880131,-0.905016013,0.738758954,-0.837218125,-1.899225538,-0.141309872
-0.022219118,0.514041995,-1.344186193,-0.577999867,0.003927774,-0.195333079,0.949047063,0.266561042,1.557135275,0.102679848,-0.48408849,0.749186816,0.520997223,-0.037206304
1.218049686,0.607475931,0.72552446,2.241616699,-1.217344323,-0.438244025,0.484907081,-0.318763766,-1.069917612,0.332014393,1.239058314,0.239532443,-0.430887342,0.663325492
1.006703112,0.216607856,0.397354666,-0.056192925,0.860479514,-0.818343997,0.291481109,-0.712086448,0.51846616,-1.150702632,-0.12920448,0.155613454,-0.266924273,0.212763988
0.181948551,0.093456827,1.197745727,0.50998722,-0.85189548,-0.435926985,0.751218421,-1.564326402,-0.49763263,-1.143623638,-0.95252591,-0.492506529,0.265539966,0.87268844
0.634146118,0.279689063,0.862047858,-0.560064095,-0.440268065,2.269819035,0.397876776,-0.078675682,0.02294748,0.317579417,1.096398455,0.307039187,0.768539086,0.688015532
-0.837074165,0.424000877,-2.055187633,-1.912240493,0.453090905,0.502810492,0.177268985,-0.25693994,1.487990279,0.050579234,-0.232567176,-0.36493653,1.80596319,1.023678028
-1.348557514,-0.131944326,-2.354829327,-1.554834777,-0.129061384,-1.302836211,-0.374478459,0.029407784,0.806018728,-1.164670028,-0.775823192,-3.000321886,-0.278096625,0.956217849
0.08069486,-1.268476884,-2.009390719,-0.758483041,0.409491632,0.394265883,-1.453056193,0.594040321,-0.026029293,-0.841929399,0.299141709,0.927025122,0.615562743,-1.506267502
0.616966645,-1.156249156,-0.209386836,0.151386747,-0.09503124,0.56887249,-0.777040916,0.901557551,-0.695762687,1.068989456,0.095572696,-0.806442958,0.959437522,-0.61942428
-0.152338552,1.539020188,0.767569643,0.117828392,-0.26358215,0.374982165,0.376774774,0.874887285,0.079223329,-0.374840656,0.027145145,2.00210942,0.670542319,1.540165327
0.3019297,1.03711844,-1.564418162,-0.430637359,-0.602830992,1.604150181,-0.286106342,1.253479236,-0.074836054,-2.380038374,0.113669971,0.650973458,2.670116214,-0.604163873
-0.2499272,-0.248260669,-0.048709603,-1.221605271,1.279725832,1.219320878,-2.180424998,-1.701512782,-2.30689101,-0.932900533,0.636526154,1.050161474,-0.174380803,-1.934260112
0.120585335,0.257768109,0.987288908,-0.670830545,-0.750302255,-1.57484013,-0.091770132,-1.032442062,-0.569170969,0.313458262,0.043041315,-0.362680943,0.383069422,-0.460861096
0.010111224,-0.444961589,-0.072678752,-1.569553863,-1.541203087,1.245835658,-0.209462577,1.43113786,0.667183069,-2.37694748,0.590940134,-0.486713933,1.104688497,0.055296355
0.057757517,0.253910376,0.213038891,2.440005158,-1.909897584,0.069533996,1.224308507,-1.180794976,0.011796176,-0.578500302,0.700982668,2.210612856,1.458814118,0.102041161
1.656233258,-0.413877249,1.026261328,-0.291507533,0.284462405,0.206675781,0.501495622,0.526883275,0.640048656,-0.213217216,0.769601947,0.298587927,0.520970049,0.102748008
-0.583494841,0.42667424,0.756481117,-0.160843513,1.063295327,0.92951325,0.953529197,0.371756554,1.697792695,0.272249719,-0.804822022,-1.462195297,0.130575362,0.900176009
0.40351328,0.234968115,-0.490966057,0.917843284,-0.679671132,-0.391542255,1.28014496,-0.319128899,1.589850346,-0.570510764,1.456896491,0.460337651,1.200818362,1.46010868
-0.841162699,-0.627208335,0.502567403,-0.671347707,0.816057052,-0.394976293,-0.395888362,-0.245411141,0.473789595,-0.924027759,0.368326722,-0.923039255,-0.891456385,0.33371631
0.379285372,-0.753280521,0.365342228,1.375115135,-0.036756419,2.843374901,-0.521439368,0.135318343,-0.244174264,0.841839209,-0.094432658,0.495223801,-0.260939716,-0.359773638
1.031770556,-0.918386778,-0.225610469,-0.561883655,-0.912874063,0.095084747,-0.084703205,0.201709832,0.129690688,-1.074830997,1.371386021,0.590493319,0.060449568,-0.018139039
-1.511339755,0.516224337,-0.645342617,-0.769164985,-2.448108199,-0.436056323,0.778495478,-0.617622672,0.341437161,-0.196929181,1.686333137,0.084960872,0.594489521,0.323823687
-0.456935284,-0.022127468,-0.815665595,-1.646605162,0.102755425,-2.098053442,-0.794505498,0.440275495,-0.832155574,-0.256828787,-1.266275351,-1.156336688,0.852567521,-0.424129344
0.877377507,0.174175997,0.078873175,0.771651211,-0.436880289,0.980347984,0.039882272,0.55580314,-0.096708891,0.827854202,0.128340059,1.116259462,0.0202877,-0.529012921
-0.238067577,-1.104680055,-0.797587766,-0.054045998,-0.32283081,0.679551264,-0.898194064,1.162850818,0.563352336,-1.360868563,1.231700451,-0.832418558,-1.08790482,-0.478457539
1.527232418,-1.022411541,0.119196219,0.937928529,-0.62238922,1.326531267,6.04E-05,0.925128564,-0.674202935,-0.669425466,1.415868077,0.382094185,1.428093183,0.548267285
-1.225632939,0.197459657,-0.243461779,-2.227755208,-0.496542581,0.379113941,-0.884640542,1.07773079,-0.159283603,-0.990162006,-0.350443284,-0.223029446,-1.421825405,-1.567656671
-0.018901358,-0.115080348,0.951902883,0.234134186,-0.299285832,0.945983324,-1.17676627,0.470052204,-0.495751906,0.840474429,0.132425975,0.017078685,-0.530387844,1.078485983
-0.578664736,-0.650960188,-1.730321127,-2.288802495,-0.059274222,0.99925377,-1.285562323,1.450553822,0.126783484,-0.394253589,0.704516339,-1.219906639,-1.525083113,-0.406634444
0.188696624,-1.186584931,-1.234928568,-1.51865709,-0.457049603,1.339158673,-0.043790661,1.414573624,1.162132137,-0.270274526,2.440508407,-1.417064431,2.22802105,1.373240154
0.93202467,-0.368220134,-1.28836255,1.324169844,0.07303978,0.263393828,0.450899174,0.522671296,1.414210678,1.595345153,-1.00110481,0.411050686,-0.90991721,1.195642339
-0.592075039,0.506078536,0.633755679,-0.064497755,0.852677304,-0.161621365,-1.764949871,0.306452494,-0.800271216,1.498984575,-0.493170099,-1.469323502,-1.23750708,-1.238227268
