STEM_1,STEM_2,STEM_3,STEM_4,STEM_5,STEM_6,STEM_7,STEM_8,STEM_9,AH_1,AH_2,AH_3,AH_4,AH_5,AH_6,AH_7,AH_8,AH_9,Books_STEM,Books_AH,OLD_STEM,OLD_AH
4,5,4,4,3,3,3,3,3,4,5,4,5,3,4,3,3,3,-0,1,104,123
2,3,3,3,3,3,3,1,2,3,3,3,3,3,4,3,2,2,1,-0,96,99
5,4,3,3,3,3,3,4,4,3,2,2,3,3,2,2,3,2,-0,1,114,88
2,3,3,3,3,2,3,4,3,2,2,2,2,3,1,2,2,2,2,0,102,74
3,2,3,2,3,2,2,2,2,3,2,3,2,5,2,2,2,2,1,0,101,82
3,2,2,2,3,2,2,1,1,3,2,2,2,4,3,2,1,1,-0,0,90,79
3,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,0,-0,92,96
2,2,4,2,2,2,2,1,1,2,2,3,3,1,2,2,2,2,0,0,77,98
2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,-0,-0,75,71
3,3,3,2,3,2,2,1,1,3,4,4,3,5,3,3,2,2,1,1,86,110
3,3,3,1,2,2,2,2,2,3,3,3,1,1,3,2,2,2,-0,0,87,110
4,3,4,3,3,3,3,3,4,4,3,4,3,2,4,3,3,4,0,0,121,123
5,4,5,4,4,3,3,3,2,4,3,5,4,4,3,3,3,2,2,2,103,119
4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,2,2,2,2,1,109,115
2,3,3,2,2,2,1,1,1,3,3,3,3,2,2,1,2,1,-0,-0,95,90
3,4,5,4,3,3,3,4,2,3,4,5,5,3,3,3,3,2,1,0,104,99
4,3,5,3,3,3,3,4,2,3,3,4,3,5,3,3,3,2,1,2,93,93
3,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,-0,-0,96,74
5,4,5,3,4,3,4,4,4,3,3,3,2,3,2,3,2,2,1,-0,130,99
3,4,3,3,3,3,3,2,2,3,3,3,1,4,2,2,2,2,0,0,117,91
2,2,5,2,2,2,1,1,1,3,3,5,2,2,2,2,2,2,1,0,85,81
4,3,3,4,2,3,2,4,2,3,3,3,5,1,3,2,3,2,-0,0,121,81
2,2,3,2,1,2,1,1,1,2,3,2,3,1,2,1,1,1,-0,0,70,73
3,3,3,3,2,3,2,1,2,3,3,2,3,2,3,3,1,2,1,1,102,93
4,4,5,3,3,4,3,2,3,4,4,5,3,2,5,3,3,4,1,0,105,110
4,4,5,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,-0,2,118,110
3,3,4,2,2,2,1,2,1,4,4,5,3,3,3,3,3,2,-0,1,84,109
2,3,5,3,2,2,2,2,2,3,4,5,4,3,4,3,2,2,-0,1,107,94
4,5,3,3,4,3,3,2,2,3,5,3,2,5,3,3,2,2,1,1,106,107
4,2,3,3,2,2,2,1,2,4,3,4,4,3,3,3,2,3,0,-0,105,108
4,4,4,3,3,3,3,4,3,4,3,4,3,4,4,2,3,2,1,1,97,119
4,3,2,3,3,3,2,3,3,3,2,2,2,3,3,2,2,2,2,0,106,96
3,4,3,3,4,5,4,3,4,3,4,3,3,5,5,4,3,3,1,0,119,95
4,3,3,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2,0,-0,87,89
3,4,4,2,3,3,2,3,1,3,3,3,2,3,3,2,2,2,0,0,87,113
4,4,2,3,3,2,3,1,2,3,3,2,2,5,2,3,2,2,0,1,112,101
4,4,4,3,2,3,3,1,3,4,5,4,4,2,4,3,2,3,-0,1,92,103
3,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,0,-0,87,100
4,1,1,3,2,2,4,2,2,4,1,1,5,3,2,5,2,3,1,2,89,88
4,4,1,3,3,4,4,4,3,4,3,2,2,2,4,4,4,3,0,0,130,95
3,5,2,3,3,3,2,3,3,4,5,3,4,3,2,2,3,3,-0,1,114,129
4,4,5,3,3,2,2,2,2,3,3,5,3,5,2,2,2,2,0,0,95,96
3,4,1,3,3,2,1,4,3,4,5,2,5,3,2,1,4,3,-0,2,98,121
3,4,3,3,2,2,2,2,3,3,5,3,2,2,2,2,2,2,-0,0,87,94
2,3,1,3,3,2,2,1,2,3,3,2,2,3,2,2,2,2,-0,-0,93,106
2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,1,2,-0,-0,80,94
4,4,4,3,3,3,3,2,3,4,3,4,2,4,2,3,2,3,2,0,108,125
1,2,2,2,2,2,1,1,2,2,2,2,1,2,3,2,1,2,-0,-0,81,97
2,2,3,3,3,2,2,3,3,2,2,3,3,4,2,2,2,2,0,-0,99,86
2,2,1,3,2,3,2,2,1,3,1,2,3,3,3,3,2,2,-0,1,99,99
4,2,1,2,2,2,2,1,2,3,2,1,2,1,2,2,2,2,2,0,90,68
4,4,3,2,3,3,2,2,2,3,3,3,2,2,2,2,2,2,0,1,110,110
3,2,1,2,2,2,1,1,1,3,2,2,1,2,2,2,1,1,0,0,80,91
5,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,0,1,119,98
3,3,2,3,2,2,3,1,2,3,3,3,3,3,3,4,2,2,-0,1,97,104
4,4,4,3,3,3,4,3,3,3,2,3,2,2,3,4,2,2,0,0,109,103
3,3,2,3,2,3,3,3,3,4,4,3,5,2,4,4,4,4,1,2,93,107
4,3,5,3,3,3,3,3,4,5,4,5,5,2,4,4,4,5,2,2,106,113
3,4,3,3,3,3,3,3,3,3,4,3,3,2,3,2,2,2,0,-0,113,116
3,3,3,3,3,2,3,1,3,4,3,4,5,5,3,4,3,3,0,1,93,116
4,4,2,2,3,2,3,3,2,3,4,3,1,4,2,3,3,2,1,1,91,96
4,2,1,3,2,3,2,2,2,4,3,1,5,3,4,3,3,3,-0,0,79,103
2,2,1,2,1,1,1,1,1,3,2,2,3,1,2,3,2,2,-0,0,89,100
2,4,4,3,3,3,3,2,3,3,4,3,3,4,3,3,2,2,1,0,105,104
3,4,2,3,3,3,2,3,1,3,4,2,3,3,2,1,2,1,-0,0,86,95
2,2,3,1,2,2,2,1,2,2,2,3,1,3,2,2,2,2,-0,0,87,72
5,5,5,4,4,3,4,5,4,5,5,5,5,5,3,4,5,4,2,2,133,117
3,3,2,3,1,2,2,2,2,3,3,2,4,1,2,3,2,2,-0,2,105,107
4,4,3,3,3,2,2,3,3,3,4,2,3,2,1,1,2,2,1,-0,102,85
4,3,3,2,2,2,2,2,1,4,4,3,3,4,2,2,3,2,-0,1,92,108
4,4,5,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,0,-0,112,109
2,3,1,3,2,2,2,1,1,2,2,1,3,2,2,2,2,1,1,-0,101,92
4,4,5,3,4,3,3,4,3,3,2,3,2,5,2,2,2,2,1,-0,104,108
3,4,3,3,3,3,2,5,2,2,3,3,3,2,2,2,3,2,0,-0,104,93
5,5,5,4,4,4,4,3,4,5,5,5,5,4,5,5,3,4,2,2,133,124
3,4,2,2,2,3,2,3,3,3,3,2,2,1,3,2,2,2,0,0,87,73
4,3,5,3,3,3,2,3,3,3,3,5,3,3,4,3,3,3,1,1,108,104
4,3,1,3,3,4,3,5,3,3,3,2,3,2,4,2,4,2,0,-0,120,92
3,2,2,1,2,2,1,1,1,4,4,3,2,3,4,3,3,3,-0,1,95,105
4,4,1,3,3,2,3,4,3,5,5,3,5,4,3,4,5,5,1,0,105,126
3,3,3,3,3,2,3,2,2,3,2,3,2,4,2,2,2,2,1,-0,101,91
5,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,2,2,135,115
5,4,3,4,4,3,3,3,3,4,3,3,4,5,3,3,3,3,1,0,106,101
4,4,2,3,2,3,3,3,2,3,3,2,2,1,2,2,2,1,0,1,102,97
2,2,3,2,2,2,1,2,1,3,2,3,2,2,3,2,2,1,1,-0,98,76
2,4,2,3,3,2,2,3,2,2,3,2,2,4,2,2,2,1,0,-0,93,87
4,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,-0,1,113,95
2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,-0,-0,75,80
2,2,1,2,1,2,1,1,2,3,2,2,2,1,2,2,2,2,-0,-0,79,74
4,5,3,4,5,4,4,5,4,3,3,2,3,4,3,2,2,2,3,-0,125,96
4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,1,0,118,103
4,4,2,2,3,2,3,2,2,2,3,1,1,2,1,2,1,1,1,-0,107,72
4,3,4,3,2,2,3,3,3,3,3,3,4,1,1,3,2,2,0,2,106,125
4,3,4,3,4,3,4,4,3,3,2,3,2,4,2,3,2,2,0,1,112,103
3,4,3,3,3,3,3,5,3,4,4,3,2,3,3,3,5,4,1,2,125,115
2,3,2,2,2,2,2,2,1,3,5,3,3,3,3,3,3,2,-0,-0,80,106
4,3,3,3,3,3,3,3,4,3,2,3,2,3,3,2,3,3,0,0,107,104
4,4,2,3,3,4,4,2,3,3,3,2,3,3,4,3,2,3,0,1,117,104
4,4,4,4,3,3,3,3,2,3,2,3,3,2,2,2,2,1,0,-0,132,85
4,3,2,3,2,3,2,3,2,3,3,2,2,2,2,2,3,2,0,0,92,102
2,3,1,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,0,116,99
5,4,2,3,3,3,3,2,2,5,5,3,4,5,4,4,3,3,1,1,99,123
3,2,3,2,3,2,2,1,2,3,2,3,3,5,2,2,2,2,-0,1,100,84
4,3,2,3,3,3,2,1,1,4,3,2,4,5,4,3,2,2,-0,1,90,104
4,4,4,3,3,3,3,2,3,3,4,4,2,3,3,3,2,3,1,0,98,99
2,2,3,2,1,2,1,1,1,2,2,3,3,1,3,2,1,1,-0,-0,79,93
3,4,2,3,3,3,2,3,3,4,5,3,3,5,3,3,4,4,0,2,93,116
3,3,2,2,2,1,1,2,1,2,3,2,3,2,1,1,2,1,1,-0,61,94
3,4,1,2,2,3,3,3,2,3,3,1,1,1,2,2,2,2,0,0,102,118
4,3,3,3,2,3,3,2,2,3,2,3,2,2,2,2,2,2,1,-0,90,97
2,3,1,3,3,3,3,5,2,3,3,2,2,3,3,3,4,3,1,1,120,103
4,3,1,3,3,3,3,1,2,3,3,2,3,2,4,3,2,2,0,0,102,96
2,3,2,2,2,1,1,2,1,3,4,3,3,3,2,2,3,2,-0,1,81,88
3,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,0,0,92,92
3,2,2,1,2,1,1,1,1,3,2,2,2,2,2,2,2,2,-0,-0,97,102
5,4,3,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,1,2,140,135
3,2,5,3,3,3,2,1,2,3,2,5,2,3,4,2,2,2,1,2,109,91
4,5,5,4,4,4,4,2,3,3,5,4,3,5,3,2,2,2,3,1,130,98
3,2,3,3,2,3,3,2,4,3,2,4,5,1,2,3,3,4,0,-0,98,113
3,4,4,2,3,2,2,2,2,3,4,4,2,3,2,2,2,2,1,1,113,97
3,2,1,2,3,2,2,1,2,3,3,2,3,5,3,3,2,2,0,3,83,80
3,4,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3,1,0,124,100
4,4,5,3,3,3,3,4,3,2,3,3,2,2,2,2,2,1,1,-0,85,67
3,4,5,3,3,2,3,3,2,2,4,3,2,3,2,2,2,2,1,-0,85,79
4,4,4,3,2,3,3,3,3,4,4,5,4,1,3,3,3,3,0,1,102,108
4,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,2,1,1,0,104,88
5,4,3,4,4,4,3,5,4,4,2,3,3,3,2,2,3,3,0,1,109,98
4,3,1,3,3,2,2,3,2,3,3,2,3,3,2,2,3,2,-0,-0,108,96
3,4,4,3,3,3,2,3,2,2,4,3,2,3,3,2,2,2,-0,-0,90,90
3,3,3,3,3,3,2,3,2,2,2,2,3,5,2,1,2,1,0,1,92,74
2,2,4,3,1,3,2,2,2,2,2,3,3,1,3,2,2,2,0,-0,88,83
3,4,4,3,3,2,2,3,3,3,4,4,3,4,2,3,3,3,-0,-0,106,127
5,4,5,4,3,3,3,1,2,4,4,5,5,3,3,3,2,2,-0,1,104,121
4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,107,86
2,4,3,2,2,3,2,2,1,3,4,4,2,2,4,3,3,2,0,1,102,107
4,4,5,4,4,3,3,3,3,3,4,4,4,5,2,3,2,2,0,-0,126,89
4,4,3,4,4,4,4,3,4,4,3,3,5,4,4,3,3,3,1,2,126,124
3,3,2,3,2,3,2,3,3,4,4,3,3,3,4,3,3,4,-0,1,88,129
3,2,4,2,2,2,2,2,1,3,2,4,2,2,2,3,2,1,-0,-0,92,68
3,1,1,3,2,2,2,1,2,3,1,2,3,3,3,2,2,2,0,1,79,90
4,4,3,3,3,3,3,3,3,3,3,3,4,1,2,3,3,3,1,1,118,118
4,3,5,3,3,3,3,3,2,3,2,4,3,2,3,2,2,1,0,-0,109,85
4,2,2,3,2,2,3,1,3,4,2,3,4,3,3,4,2,3,0,0,92,115
4,4,5,4,3,3,3,3,2,4,3,5,5,3,3,3,3,2,0,2,114,127
5,4,3,3,3,4,4,4,3,3,2,2,2,1,3,3,3,2,2,1,124,105
4,3,4,3,3,3,3,3,3,3,2,4,4,2,4,4,3,2,1,3,108,102
3,4,3,2,2,1,1,1,1,3,5,3,2,3,2,2,2,2,-0,0,88,94
4,3,2,3,2,2,2,3,3,4,3,3,3,3,2,3,3,4,0,-0,101,93
3,3,2,3,3,3,3,1,2,3,3,2,4,3,3,3,2,2,1,-0,93,116
3,3,5,3,2,2,2,3,2,3,2,4,4,1,2,2,3,2,-0,0,104,110
2,2,2,3,2,2,2,3,2,3,3,3,4,3,2,3,3,2,2,-0,89,94
5,5,3,3,3,4,3,3,3,4,5,3,4,3,4,3,3,3,1,1,127,113
2,4,5,3,2,3,3,2,3,3,4,5,2,2,3,3,2,2,1,0,99,110
3,2,4,2,3,2,3,2,2,3,1,3,1,2,2,2,2,2,1,1,108,101
4,3,3,2,2,2,2,1,1,3,3,3,3,1,2,3,1,2,0,-0,85,94
2,2,1,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,0,-0,80,67
2,2,3,3,3,3,3,3,2,2,1,2,2,3,2,2,2,2,0,-0,92,87
4,4,2,3,3,3,3,3,3,3,3,2,3,4,3,3,2,3,-0,0,114,93
2,3,5,2,2,2,2,2,1,3,3,5,1,3,3,2,2,2,0,1,81,86
3,2,1,2,2,2,2,1,2,3,3,2,3,4,3,3,2,3,-0,0,84,107
2,2,1,1,2,2,2,1,2,3,3,2,2,4,2,3,2,2,-0,-0,80,104
4,4,4,3,3,2,2,1,3,3,3,3,2,2,1,2,1,2,1,-0,100,73
3,2,3,3,3,3,2,3,3,3,2,4,4,3,3,3,3,3,1,1,98,110
1,1,3,1,1,1,1,1,1,2,2,3,2,3,2,2,2,1,-0,-0,77,93
4,4,4,4,3,3,4,3,4,3,3,3,3,2,2,3,2,2,-0,1,113,113
3,4,5,3,3,2,3,1,3,3,4,4,2,2,2,3,2,2,1,0,119,89
4,4,3,3,3,3,4,4,3,3,3,2,3,2,3,4,3,2,1,1,104,95
1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,-0,-0,67,74
2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,0,-0,77,67
4,3,2,3,2,2,1,1,2,4,3,3,5,3,3,2,2,3,0,1,112,118
4,3,4,3,3,3,2,3,3,4,3,4,4,5,4,2,3,3,-0,-0,105,126
5,5,3,4,4,4,4,3,4,4,5,3,3,3,3,2,2,3,1,2,123,108
3,2,1,3,2,2,1,1,2,3,2,2,5,3,3,2,2,3,0,0,81,88
5,3,3,5,3,4,4,3,3,4,2,3,5,3,4,4,3,3,2,2,120,113
4,4,5,3,3,4,4,3,4,4,4,5,3,2,5,3,3,4,2,3,128,103
4,4,4,3,3,3,4,4,4,3,3,3,3,2,2,3,3,2,2,0,119,99
2,3,2,2,1,1,1,2,1,3,4,3,2,1,2,2,3,2,1,1,96,99
3,4,4,3,3,3,4,3,3,3,3,3,1,3,3,3,2,2,0,0,97,97
3,4,2,3,2,3,2,1,1,4,5,3,4,2,4,2,3,2,0,1,97,114
4,4,4,3,3,3,3,2,3,4,4,4,3,2,2,3,2,2,1,1,110,104
5,4,1,3,4,3,3,4,3,4,4,2,3,5,3,3,3,2,1,0,115,124
4,3,3,3,2,3,2,3,2,3,3,3,2,1,3,2,3,2,0,-0,88,117
3,2,2,2,2,2,2,1,2,3,3,2,3,2,3,2,2,2,3,-0,83,102
4,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,-0,-0,97,102
3,4,2,3,3,4,3,3,3,3,3,2,2,3,4,2,2,2,1,0,89,107
2,2,1,2,2,2,1,1,2,3,2,2,3,3,3,2,2,2,-0,0,72,64
2,3,3,3,3,2,2,1,3,2,1,2,1,3,2,1,1,2,0,-0,92,58
1,4,3,3,3,2,2,2,3,3,4,3,3,4,2,2,3,3,2,1,106,94
2,2,2,2,3,2,2,1,1,2,2,2,1,5,3,2,1,1,0,-0,81,82
3,3,4,3,2,2,2,2,1,4,3,5,4,4,3,3,3,2,1,0,88,111
4,4,5,5,3,4,4,4,3,4,4,5,5,3,5,4,4,3,-0,3,119,121
3,2,4,2,2,2,2,2,1,3,2,4,2,3,2,3,2,2,0,1,86,92
4,5,4,3,4,3,4,3,3,4,5,4,3,4,2,3,3,2,3,0,124,120
4,4,5,4,4,4,3,4,3,3,4,5,3,4,5,2,3,2,0,1,118,126
3,4,4,3,3,2,2,1,2,3,3,3,3,5,2,2,2,2,-0,-0,94,103
4,4,3,4,3,3,3,3,3,3,3,3,4,2,3,2,2,2,1,0,114,106
4,3,1,2,2,1,1,1,2,4,5,3,3,4,2,3,3,3,-0,0,74,103
4,3,4,3,3,3,2,1,3,3,2,3,2,3,2,2,2,2,-0,0,108,96
3,3,3,3,2,1,2,1,1,3,3,4,3,2,2,3,2,2,-0,0,68,99
3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,0,0,90,106
2,4,2,3,2,2,2,1,1,3,4,2,3,2,3,2,2,1,1,1,95,94
4,2,5,3,3,3,4,3,3,5,2,5,5,4,4,5,5,4,1,1,108,124
3,3,2,2,2,2,2,1,2,3,3,2,2,1,2,2,2,2,1,1,108,110
2,2,2,2,2,1,1,2,1,3,2,2,3,2,2,2,2,1,-0,0,88,84
3,3,3,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,-0,-0,103,82
3,3,3,2,2,2,1,2,2,3,3,3,2,2,3,2,2,2,1,0,95,87
4,3,1,3,2,3,2,3,2,4,3,2,3,2,3,3,3,3,0,1,114,111
4,5,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,1,1,129,108
3,3,5,3,2,3,2,3,2,3,3,4,3,2,3,2,2,2,-0,-0,96,97
5,4,4,4,3,4,4,3,3,5,5,5,5,4,5,5,5,5,1,4,126,148
5,4,2,1,2,2,1,1,1,4,5,2,1,2,3,2,2,2,-0,0,82,86
4,3,5,3,2,2,3,3,3,3,3,4,3,1,2,3,3,3,-0,0,94,103
3,4,3,3,3,3,2,3,2,3,3,3,4,3,3,2,2,2,-0,0,99,99
4,3,2,3,3,3,3,2,2,2,1,1,2,2,2,2,1,1,1,-0,110,88
2,4,3,2,2,3,3,2,2,2,3,2,1,2,2,2,2,1,0,0,89,88
3,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,0,-0,93,88
2,3,1,2,2,2,3,2,2,3,3,2,3,3,2,4,3,3,-0,-0,93,109
5,3,5,3,2,2,2,2,2,3,3,5,3,1,1,2,2,2,0,0,97,93
2,2,4,3,3,2,2,2,2,3,2,5,5,5,2,3,3,2,0,1,97,118
3,4,3,2,3,2,2,2,2,4,5,4,2,5,3,3,3,3,0,0,85,112
3,2,4,2,2,2,1,1,1,3,2,4,2,3,2,2,1,1,0,1,84,91
3,4,5,3,3,3,3,3,3,3,4,4,3,2,2,2,2,2,1,-0,117,115
2,4,3,2,2,3,4,2,3,4,5,3,2,3,4,5,3,4,-0,1,88,111
4,4,2,3,3,3,3,1,3,3,3,2,2,3,2,2,2,2,3,2,106,96
3,3,1,3,2,2,1,2,2,4,4,3,4,3,4,3,3,3,2,2,79,101
2,3,2,2,1,2,1,1,1,3,3,3,2,1,2,2,2,2,0,-0,88,100
3,3,2,3,2,2,2,2,1,2,2,2,3,2,2,2,2,1,0,-0,97,73
2,4,2,2,2,2,2,2,1,4,5,4,3,4,4,5,3,2,0,2,91,109
4,4,4,3,3,2,3,2,3,3,3,3,3,1,1,2,2,2,2,-0,107,81
4,4,4,4,3,3,3,3,4,4,3,4,5,2,3,3,3,4,-0,1,111,114
3,3,2,3,3,2,1,2,1,3,2,2,4,4,2,2,2,1,-0,-0,92,108
2,3,4,3,2,3,3,2,2,3,3,4,5,2,4,4,3,3,-0,1,104,108
4,4,2,3,2,3,3,1,1,4,4,3,3,3,5,4,3,2,-0,1,96,129
2,2,3,3,3,2,1,2,1,2,1,3,2,4,2,1,2,1,0,-0,98,102
4,3,5,3,3,4,3,3,3,3,2,4,3,4,3,3,3,2,0,0,116,106
5,4,5,3,4,3,3,3,3,3,4,4,2,5,2,2,2,3,1,1,104,101
5,4,5,3,2,3,3,3,3,5,4,5,3,1,4,3,3,3,1,2,104,116
3,4,2,3,3,3,3,2,3,3,3,2,4,2,3,2,2,2,1,1,99,93
4,2,3,3,3,3,3,4,3,3,2,3,3,5,3,4,3,3,-0,-0,107,107
2,3,3,2,1,2,2,3,2,3,3,3,2,1,2,2,2,2,0,0,87,92
4,4,3,3,3,2,2,1,2,4,4,3,3,3,2,3,2,3,0,0,107,96
3,3,2,2,2,2,2,1,2,3,4,3,2,4,3,3,3,3,1,1,88,126
4,5,4,3,3,2,2,3,1,4,5,5,4,4,2,2,3,2,1,-0,112,112
3,3,4,3,2,2,2,1,1,3,3,3,5,3,2,2,2,2,0,-0,90,88
4,4,1,3,4,3,3,3,3,3,3,1,2,4,2,2,2,2,-0,-0,115,77
2,2,3,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,0,-0,96,81
3,4,2,3,2,2,2,2,3,3,5,3,3,3,3,3,3,3,-0,1,102,85
2,3,2,3,2,2,2,2,3,3,4,2,4,1,2,3,2,4,-0,1,86,120
1,5,5,3,3,3,3,1,3,2,5,5,4,4,3,3,2,2,1,1,122,104
4,3,5,3,3,3,3,3,2,3,2,4,3,4,2,2,2,1,2,0,120,104
3,2,2,2,2,3,2,3,1,4,3,3,2,3,3,3,3,2,0,0,91,106
3,2,4,2,2,2,2,3,1,2,1,3,1,2,1,2,2,1,0,-0,75,71
4,5,2,3,5,4,3,5,4,3,5,2,3,5,4,3,4,3,4,0,111,125
2,3,5,3,3,3,2,4,3,3,3,5,3,5,3,2,3,2,0,-0,112,105
2,4,2,2,2,2,2,3,2,3,5,3,2,3,3,2,3,2,-0,0,108,105
2,4,2,2,2,2,1,2,2,2,4,2,2,2,2,2,2,2,-0,-0,98,63
4,3,3,3,3,2,3,3,3,3,3,3,3,4,2,3,3,3,1,1,96,125
5,4,4,2,3,3,3,1,2,4,4,4,2,5,3,3,2,2,1,1,112,102
2,2,2,1,2,2,1,3,1,3,2,2,2,2,2,2,3,2,0,-0,61,112
3,5,2,3,3,4,3,2,3,3,5,3,4,2,5,4,2,2,0,1,105,100
2,3,1,3,2,2,2,1,2,4,5,3,4,4,3,3,3,3,1,2,111,119
3,4,3,2,4,3,3,1,3,3,2,2,1,4,2,2,2,2,1,1,104,92
3,5,1,3,3,2,2,3,2,3,5,2,5,5,3,3,3,2,1,1,93,108
3,3,1,2,1,1,1,1,1,3,4,2,3,2,3,2,2,2,-0,1,77,102
2,2,3,3,2,2,1,1,1,3,1,3,3,5,2,2,1,2,0,-0,93,96
